Name,Image source,Rating,Genres,Release year
Rozen Maiden: Träumend,https://cdn.myanimelist.net/images/anime/4/10242.jpg,7.61,"['Action', 'Comedy', 'Drama', 'Fantasy']",2005
Rurouni Kenshin: Meiji Kenkaku Romantan (2023),https://cdn.myanimelist.net/images/anime/1599/136532.jpg,7.61,"['Action', 'Historical', 'Samurai']",2023
Hakkenden: Touhou Hakken Ibun 2nd Season,https://cdn.myanimelist.net/images/anime/10/50885.jpg,7.61,"['Action', 'Fantasy', 'Mystery', 'Mythology']",2013
Master Keaton,https://cdn.myanimelist.net/images/anime/7/73931.jpg,7.61,"['Adventure', 'Drama', 'Mystery', 'Adult Cast', 'Historical']",1998
Shingeki no Bahamut: Genesis,https://cdn.myanimelist.net/images/anime/2/67513.jpg,7.61,"['Action', 'Adventure', 'Fantasy']",2014
Eikoku Koi Monogatari Emma,https://cdn.myanimelist.net/images/anime/5/80117.jpg,7.61,"['Drama', 'Romance', 'Adult Cast', 'Historical']",2005
Yama no Susume Third Season,https://cdn.myanimelist.net/images/anime/1070/93809.jpg,7.6,"['Adventure', 'Slice of Life', 'CGDCT', 'Iyashikei']",2018
Fairy Tail: Final Series,https://cdn.myanimelist.net/images/anime/1536/93863.jpg,7.6,"['Action', 'Adventure', 'Fantasy']",2018
Chrno Crusade,https://cdn.myanimelist.net/images/anime/13/14141.jpg,7.6,"['Action', 'Romance', 'Supernatural', 'Historical', 'Mythology']",2003
Nurarihyon no Mago,https://cdn.myanimelist.net/images/anime/9/75631.jpg,7.6,"['Action', 'Supernatural', 'Mythology']",2010
Jigoku Shoujo,https://cdn.myanimelist.net/images/anime/4/86907.jpg,7.6,"['Horror', 'Mystery', 'Supernatural', 'Suspense', 'Psychological']",2005
White Album 2,https://cdn.myanimelist.net/images/anime/1674/142746.jpg,7.6,"['Drama', 'Romance', 'Love Polygon', 'Music']",2013
Tegamibachi,https://cdn.myanimelist.net/images/anime/9/71808.jpg,7.6,"['Adventure', 'Fantasy']",2009
Mahoujin Guruguru,https://cdn.myanimelist.net/images/anime/2/75814.jpg,7.6,"['Adventure', 'Comedy', 'Fantasy']",1994
Jigoku Shoujo Mitsuganae,https://cdn.myanimelist.net/images/anime/11/86976.jpg,7.6,"['Horror', 'Mystery', 'Supernatural', 'Suspense', 'Psychological']",2008
Free! Dive to the Future,https://cdn.myanimelist.net/images/anime/1243/95025.jpg,7.6,"['Sports', 'School']",2018
Uma Musume: Pretty Derby Season 3,https://cdn.myanimelist.net/images/anime/1475/138948.jpg,7.6,"['Sports', 'Anthropomorphic', 'Racing']",2023
Kareshi Kanojo no Jijou,https://cdn.myanimelist.net/images/anime/1222/108880.jpg,7.6,"['Comedy', 'Drama', 'Romance', 'School']",1998
Katsute Mahou Shoujo to Aku wa Tekitai shiteita.,https://cdn.myanimelist.net/images/anime/1653/143959.jpg,7.59,"['Comedy', 'Romance', 'Mahou Shoujo']",2024
Tensura Nikki: Tensei shitara Slime Datta Ken,https://cdn.myanimelist.net/images/anime/1458/117607.jpg,7.59,"['Comedy', 'Fantasy', 'Isekai', 'Reincarnation']",2021
Junjou Romantica 3,https://cdn.myanimelist.net/images/anime/2/74170.jpg,7.59,"['Boys Love', 'Comedy', 'Drama', 'Adult Cast']",2015
Bokura no,https://cdn.myanimelist.net/images/anime/1690/97048.jpg,7.59,"['Action', 'Drama', 'Sci-Fi', 'Suspense', 'Mecha', 'Psychological', 'Survival']",2007
Kekkaishi,https://cdn.myanimelist.net/images/anime/7/75191.jpg,7.59,"['Action', 'Adventure', 'Supernatural', 'Mythology']",2006
Ani ni Tsukeru Kusuri wa Nai! 4,https://cdn.myanimelist.net/images/anime/1416/129199.jpg,7.59,"['Comedy', 'School']",2020
Hoshiai no Sora,https://cdn.myanimelist.net/images/anime/1807/103081.jpg,7.59,"['Drama', 'Sports', 'School']",2019
Full Metal Panic!,https://cdn.myanimelist.net/images/anime/2/75259.jpg,7.59,"['Action', 'Comedy', 'Sci-Fi', 'Mecha', 'Military']",2002
Chuuka Ichiban!,https://cdn.myanimelist.net/images/anime/6/75283.jpg,7.59,"['Action', 'Comedy', 'Drama', 'Gourmet']",1997
Shinigami Bocchan to Kuro Maid,https://cdn.myanimelist.net/images/anime/1471/115593.jpg,7.59,"['Comedy', 'Fantasy', 'Romance', 'Love Status Quo', 'Urban Fantasy']",2021
Ashita no Nadja,https://cdn.myanimelist.net/images/anime/7/75381.jpg,7.59,"['Adventure', 'Drama', 'Romance', 'Historical']",2003
Prison School,https://cdn.myanimelist.net/images/anime/1286/112161.jpg,7.59,"['Comedy', 'Ecchi', 'Gag Humor', 'School']",2015
Kekkai Sensen,https://cdn.myanimelist.net/images/anime/1449/142053.jpg,7.59,"['Action', 'Fantasy', 'Super Power', 'Urban Fantasy', 'Vampire']",2015
Kidou Butouden G Gundam,https://cdn.myanimelist.net/images/anime/1187/133654.jpg,7.58,"['Action', 'Drama', 'Romance', 'Sci-Fi', 'Martial Arts', 'Mecha', 'Space']",1994
Sword Art Online: Alicization - War of Underworld,https://cdn.myanimelist.net/images/anime/1630/103417.jpg,7.58,"['Action', 'Adventure', 'Fantasy', 'Video Game']",2019
World Trigger,https://cdn.myanimelist.net/images/anime/1783/106843.jpg,7.58,"['Action', 'Sci-Fi']",2014
Majin Tantei Nougami Neuro,https://cdn.myanimelist.net/images/anime/12/20930.jpg,7.58,"['Comedy', 'Mystery', 'Supernatural', 'Detective', 'Mythology']",2007
Soredemo Sekai wa Utsukushii,https://cdn.myanimelist.net/images/anime/4/59259.jpg,7.58,"['Adventure', 'Fantasy', 'Romance']",2014
Akudama Drive,https://cdn.myanimelist.net/images/anime/1468/109172.jpg,7.58,"['Action', 'Sci-Fi', 'Suspense', 'Adult Cast', 'Gore']",2020
BanG Dream! 2nd Season,https://cdn.myanimelist.net/images/anime/1967/108632.jpg,7.58,"['CGDCT', 'Music', 'School']",2019
"Fuufu Ijou, Koibito Miman.",https://cdn.myanimelist.net/images/anime/1713/126442.jpg,7.58,"['Romance', 'Love Polygon', 'School']",2022
"Ima, Soko ni Iru Boku",https://cdn.myanimelist.net/images/anime/1094/109008.jpg,7.58,"['Adventure', 'Drama', 'Fantasy', 'Sci-Fi', 'Isekai', 'Military']",1999
Akiba Meido Sensou,https://cdn.myanimelist.net/images/anime/1217/129604.jpg,7.58,"['Action', 'Comedy', 'Organized Crime']",2022
Yowamushi Pedal: Glory Line,https://cdn.myanimelist.net/images/anime/3/88489.jpg,7.58,"['Sports', 'Racing']",2018
Love Live! Sunshine!! 2nd Season,https://cdn.myanimelist.net/images/anime/13/88322.jpg,7.58,"['Slice of Life', 'Idols (Female)', 'Music', 'School']",2017
Arknights: Touin Kiro,https://cdn.myanimelist.net/images/anime/1593/138601.jpg,7.58,"['Action', 'Fantasy']",2023
Romeo x Juliet,https://cdn.myanimelist.net/images/anime/12/75159.jpg,7.58,"['Drama', 'Fantasy', 'Romance', 'Historical']",2007
Candy Candy,https://cdn.myanimelist.net/images/anime/4/35051.jpg,7.58,"['Drama', 'Romance', 'Historical']",1976
Black Jack (TV),https://cdn.myanimelist.net/images/anime/1588/133791.jpg,7.58,"['Drama', 'Medical']",2004
Sword Art Online: Alicization,https://cdn.myanimelist.net/images/anime/1993/93837.jpg,7.57,"['Action', 'Adventure', 'Fantasy', 'Video Game']",2018
Tada-kun wa Koi wo Shinai,https://cdn.myanimelist.net/images/anime/1446/91841.jpg,7.57,"['Comedy', 'Romance', 'School', 'Visual Arts']",2018
